Код раздела,Наименование раздела на русском языке,Наименование раздела на латинском языке,Синоним названия раздела на латинском языке,Код,Наименование на русском языке,Наименование на латинском языке,Обозначение фармакопеи,Дата начала действия,Вид акта,Номер акта,Дата акта,Дата окончания действия,Вид акта,Номер акта,Дата акта
96,Родиола розовая,-,,96050,Родиолы розовой корневища и корни,Rhodiolae roseae rhizomata et radicesfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
97,Ромашка аптечная,-,,97180,Ромашки аптечной цветки,Chamomillae recutitae floresfructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
98,Рябина обыкновенная,-,,98110,Рябины обыкновенной плоды,Sorbi aucupariae fructusfructus,"02,03,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
99,Сабельник болотный,-,,99060,Сабельника болотного корневища с корнями,Comari palustris rhizomata cum radicibusfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
100,Сенна,-,,100090,Сенны листья,Sennae foliafructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
101,Сенна остролистная,-,,101110,Сенны остролистной плоды,Sennae acutifoliae fructusfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
102,Сенна узколистная,-,,102110,Сенны узколистной плоды,Sennae angustifoliae fructusfructus,2,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
103,Серпуха венценосная,-,,103190,Серпуха венценосная,Serratula coronate L.herbafructus,"3,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
104,Синюха голубая,-,,104060,Синюхи голубой корневища с корнями,Polemonii caerulei rhizomata cum radicibusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
105,Солодка,-,,105070,Солодки корни,Glycyrrhizae radicesfructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
106,Солянка холмовая,-,,106190,Солянка холмовая,Salsola collina Pall.herbafructus,"3,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
107,Сосна обыкновенная,-,,107120,Сосны обыкновенной почки,Pini silvestris gemmaefructus,"2,04",19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
108,Стальник полевой,-,,108070,Стальника полевого корни,Ononidis arvensis radicusfructus,4,19.05.2019,Решение Коллегии Евразийской экономической комиссии,59,16.04.2019,,,,
